Record ID,Manufacturer Part Number,Short Number,Price
CAM1033 - 7 Day Timer -  12VDC -  Internal Memory Backup -  SPDT Relay - 7 Day Timer -  12VDC -  Internal Memory Backup -  SPDT Relay -  - CX-247-12 - $90.39 ,CX-247-12,CAM1033,90.39
"CAM1051 - Grade 1 Electric Strike -  12/24 VDC -  Fail Safe/Fail Secure -  Satin Stainless Steel - Grade 1 Electric Strike, 12/24 VDC, Fail Safe/Fail Secure, Satin Stainless Steel -  - CX-ED1079 - $199.69 ",CX-ED1079,CAM1051,199.69
"CAM1052 - Grade 1 Surface Mount Electric Rim Strike -  12/24 VDC -  Fail Safe/Fail Secure -  Plug In Latch Monitor Assembly -  Satin Stainless Steel - Grade 1 Surface Mount Electric Rim Strike, 12/24 VDC, Fail Safe/Fail Secure, Plug In Latch Monitor Assembly, Satin Stainless Steel -  - CX-EPD1289L - $551.78 ",CX-EPD1289L,CAM1052,551.78
LAR1083 - Jamb Switch Deluxe -  Plain - Jamb Switch Deluxe -  Plain -  - J00 - $75.00 ,J00,LAR1083,75.0
LAR1020 - Jamb Switch HPTO - Jamb Switch HPTO -  - J01 - $64.00 ,J01,LAR1020,64.0
LAR1018 - Jamb Switch HPTO w/box - Jamb Switch HPTO w/box -  - J01J0 - $76.00 ,J01J0,LAR1018,76.0
"LAR1016 - Jamb Switch HPTO w/box - Jamb Switch HPTO w/box + 433 MHz TX, Larco -  - J01J4 - $124.00 ",J01J4,LAR1016,124.0
LAR1021 - Jamb Switch HPTO (with transmitter switch) - Jamb Switch HPTO (with transmitter switch) -  - J01TX - $72.00 ,J01TX,LAR1021,72.0
LAR1022 - Jamb Switch Box (no switch) - Jamb Switch Box (no switch) -  - JJ0 - $18.00 ,JJ0,LAR1022,18.0
"MOT1029 - Motion Access - Condor Swing Low Energy Operator -  Aluminum - Motion Access - Condor Swing Low Energy Operator,  72 inch, Push Arm/Out Swing -  Aluminum -  - LP1C-72 - $4,530.00 ",LP1C-72,MOT1029,4530.0
MEW1001 - Enclosed Switching Power Supply -  Single Output -  12V - Enclosed Switching Power Supply -  Single Output -  12V -  - LRS-75-12 - $33.63 ,LRS-75-12,MEW1001,33.63
"MEW1000 - Enclosed Switching Power Supply -  Single Output -  24V - Enclosed Switching Power Supply, Single Output, 24V, 3.2A, 76.8W, 3.9"" L x 3.82"" W x 1.18"" H, Mean Well -  - LRS-75-24 - $27.28 ",LRS-75-24,MEW1000,27.28
MOT1038 - Header End Dress Plates - Header End Dress Plates (QTY 2/Package) -  - MA-END-PLATES - $46.66 ,MA-END-PLATES,MOT1038,46.66
MOT1040 - Ground Bracket Assembly w/Control Harness  - Ground Bracket Assembly w/Control Harness  -  - MA-GND-ASM - $56.33 ,MA-GND-ASM,MOT1040,56.33
MOT1039 - Arms for the Condor Automatic Door Operators - Arms for the Condor Automatic Door Operators -  - MA-PUSH-LH-DBZ - $0.00 ,MA-PUSH-LH-DBZ,MOT1039,0.0
MOT1032 - Universal Three-Position Rocker Switch - Universal Three-Position Rocker Switch -  - MA40011 - $83.09 ,MA40011,MOT1032,83.09
"MOT1033 - Condor Swing Controller -  Low Energy - Condor Swing Controller, Low Energy -  - MA50777T-L - $960.61 ",MA50777T-L,MOT1033,960.61
"MOT1043 - Motion Access Power Harness Condor Swing/Slide Control -  4-Pin New Style to 4-Pin Old Style - Motion Access Power Harness Condor Swing/Slide Control, 4-Pin New Style to 4-Pin Old Style -  - MA50782 - $15.76 ",MA50782,MOT1043,15.76
"MOT1037 - Condor Swing Motor/Gearbox Right Hand - Condor Swing Motor/Gearbox with Encoder, 10 pin connector. -  - MA81000-901 - $1,135.08 ",MA81000-901,MOT1037,1135.08
"MOT1028 - 10 Pin Connector -  Swing -  Motor/Gearbox - 10 Pin Connector -  Swing -  Motor/Gearbox -  - MA81000-902 - $1,080.00 ",MA81000-902,MOT1028,1080.0
"MOT1041 - Low Force Motor/Gearbox -  RH -  10-Pin Connector - Low Force Motor/Gearbox, RH, 10-Pin Connector -  - MA83000-901 - $1,254.00 ",MA83000-901,MOT1041,1254.0
"MOT1017 - Motion Access - Condor Swing Low Energy Operator – LH -  Push Arm/Out Swing -  Aluminum - Motion Access - Condor Swing Low Energy Operator 36 inch Can  LH -  Push Arm/Out Swing -  Aluminum  -  - MAC-LL1C-36 - $2,300.00 ",MAC-LL1C-36,MOT1017,2300.000000031
"MOT1008 - Motion Access Condor Swing Low Energy Operator – LH -  Push Arm/Out Swing -  Silver - Motion Access Condor Swing Low Energy Operator â€“ LH -  Push Arm/Out Swing -  Silver -  - MAC-LL1C-XX - $2,300.00 ",MAC-LL1C-XX,MOT1008,2300.0
"MOT1016 - Motion Access - Condor Swing Low Energy Operator - Dark Bronz - Motion Access - Condor Swing Low Energy Operator â€“ LH -  Push Arm/Out Swing - 36 Inch Can  - Dark Bronze -  - MAC-LL1D-36 - $2,300.00 ",MAC-LL1D-36,MOT1016,2300.000000031
"MOT1012 - Motion Access Condor Swing Low Energy Operator -  Dark Bronze - Motion Access Condor Swing Low Energy Operator â€“ LH -  Push Arm/Out Swing -  Dark Bronze -  - MAC-LL1D-XX - $2,300.00 ",MAC-LL1D-XX,MOT1012,2300.0
