Record ID,Manufacturer,Manufacturer Part Number,Price,Cost,MSRP,Internal Description,Frequently Used,Supplier,Description,Pricing Strategy,MSRP Adjustment,QBE Price,Last Pricing Update,Short Number,Old Short Number,Secondary Supplier,Tertiary Supplier,Pricing Source
CAM1013 - BLUE -  PULL STATION FOR DOOR RELEASE. inEMERGENCY EXITin - BLUE -  PULL STATION FOR DOOR RELEASE. inEMERGENCY EXITin - CM130 - 702 - $71.92 ,Camden Controls,702,71.92,35.31,68.43,BLUE -  PULL STATION FOR DOOR RELEASE. inEMERGENCY EXITin,,Doyle Security Products,BLUE -  PULL STATION FOR DOOR RELEASE. inEMERGENCY EXITin,MSRP Adjust,0.051,68.43,"Jun 21, 2022",CAM1013,CM130,Seclock,,Doyle Price List
CAM1011 - Industrial Door and Gate Control -  Interior Use -  Flush Mount Key Switch -  NEMA 1 and 2 - Industrial Door and Gate Control -  Interior Use -  Flush Mount Key Switch -  NEMA 1 and 2 - CM127 - CI-1KF - $157.65 ,Camden Controls,CI-1KF,157.65,90.0,150.0,Industrial Door and Gate Control -  Interior Use -  Flush Mount Key Switch -  NEMA 1 and 2,,Doyle Security Products,Industrial Door and Gate Control -  Interior Use -  Flush Mount Key Switch -  NEMA 1 and 2,MSRP Adjust,0.051,184.0,"Jun 21, 2022",CAM1011,CM127,Seclock,,Security Lock Price List
CAM1047 - Single Pull Single Throw Switch - SPST Maintained Contact Switch - 6A @ 125VAC - 3A @ 30VDC - Switch Only  -  - CM-1000/35 - $25.22 ,Camden Controls,CM-1000/35,25.22,14.4,24.0,SPST Maintained Contact Switch - 6A @ 125VAC - 3A @ 30VDC - Switch Only ,,Doyle Security Products,Single Pull Single Throw Switch,MSRP Adjust,0.051,,,CAM1047,,,,
CAM1004 - CAMDEN SWITCH N/O CONTACTS - CAMDEN SWITCH N/O CONTACTS - CM105 - CM-1120 - $117.71 ,Camden Controls,CM-1120,117.71,67.2,112.0,CAMDEN SWITCH N/O CONTACTS,,Doyle Security Products,CAMDEN SWITCH N/O CONTACTS,MSRP Adjust,0.051,106.19,"May 22, 2023",CAM1004,CM105,Seclock,,Doyle Price List
CAM1045 - Camden Single Gang Momentary Keyswitch - Camden Single Gang Momentary Keyswitch -  - CM-1120 - $117.71 ,Camden Controls,CM-1120,117.71,67.2,112.0,Camden Single Gang Momentary Keyswitch,,Doyle Security Products,Camden Single Gang Momentary Keyswitch,MSRP Adjust,0.051,,,CAM1045,,,,
"CAM1044 - Keyswitch -  Satin Aluminum - Single Gang Keyswitch, SPDT N.O & N.C Maintained, 12/24V, Satin Aluminum -  - CM-1130 - $112.00 ",Camden Controls,CM-1130,112.0,67.2,112.0,"Single Gang Keyswitch, SPDT N.O & N.C Maintained, 12/24V, Satin Aluminum",,Doyle Security Products,Keyswitch -  Satin Aluminum,MSRP,,,,CAM1044,,,,
CAM1043 - Keypad -  Indoor 12/24V Standalone or Wiegand Flush Mount -  Satin Stainless - Keypad -  Indoor 12/24V Standalone or Wiegand Flush Mount -  Satin Stainless -  - CM-120I - $140.00 ,Camden Controls,CM-120I,140.0,84.0,140.0,Keypad -  Indoor 12/24V Standalone or Wiegand Flush Mount -  Satin Stainless,,Banner Solutions (Formerly Akron),Keypad -  Indoor 12/24V Standalone or Wiegand Flush Mount -  Satin Stainless,MSRP,,,"May 22, 2023",CAM1043,,,,
CAM1039 - Battery Operated Wireless Keypad -  Vandal & Weather Resistant -  Single Gang -  Satin Stainless Steel - Battery Operated Wireless Keypad -  Vandal & Weather Resistant -  Single Gang -  Satin Stainless Steel -  - CM-120TX - $300.00 ,Camden Controls,CM-120TX,300.0,180.0,300.0,Battery Operated Wireless Keypad -  Vandal & Weather Resistant -  Single Gang -  Satin Stainless Steel,,Seclock,Battery Operated Wireless Keypad -  Vandal & Weather Resistant -  Single Gang -  Satin Stainless Steel,MSRP,,,"May 22, 2023",CAM1039,,,,Doyle Price List
CAM1026 - Narrow Jamb Surface Mount Box -  Flame/Impact Resistant -  Extra Deep -  Not Compatible with CM-333 Touchless Switches -  Black Finish - Narrow Jamb Surface Mount Box -  Flame/Impact Resistant -  Extra Deep -  Not Compatible with CM-333 Touchless Switches -  Black Finish -  - CM-23D - $31.53 ,Camden Controls,CM-23D,31.53,18.0,30.0,Narrow Jamb Surface Mount Box -  Flame/Impact Resistant -  Extra Deep -  Not Compatible with CM-333 Touchless Switches -  Black Finish,,Seclock,Narrow Jamb Surface Mount Box -  Flame/Impact Resistant -  Extra Deep -  Not Compatible with CM-333 Touchless Switches -  Black Finish,MSRP Adjust,0.051,,"May 22, 2023",CAM1026,,,,Doyle Price List
CAM1028 - CAMDEN NRW JMB MNT W/HNDCP LGO - CAMDEN NRW JMB MNT W/HNDCP LGO -  - CM-25/4 - $74.62 ,Camden Controls,CM-25/4,74.62,42.6,71.0,CAMDEN NRW JMB MNT W/HNDCP LGO,,Seclock,CAMDEN NRW JMB MNT W/HNDCP LGO,MSRP Adjust,0.051,,"May 22, 2023",CAM1028,,,,Doyle Price List
