Item,,M4,M4 BiLevel,M3,M3 BiLevel,X4,Electronic,Orig/Biax,Keymark
11C632T-S,,423,359.55,431.46,363.78,,,456.84,
11C633-P,,456,377.55,464.46,381.78,,,489.84,
11C633-S,,423,359.55,431.46,363.78,,,456.84,
11C633T-P,,456,377.55,464.46,381.78,,,489.84,
11C633T-S,,423,359.55,431.46,363.78,,,456.84,
11C634-P,,456,377.55,464.46,381.78,,,489.84,
11C634-S,,423,359.55,431.46,363.78,,,456.84,
11C634T-P,,456,377.55,464.46,381.78,,,489.84,
11C634T-S,,423,359.55,431.46,363.78,,,456.84,
11C635-P,,456,377.55,464.46,381.78,,,489.84,
11C635-S,,423,359.55,431.46,363.78,,,456.84,
11C635T-P,,456,377.55,464.46,381.78,,,489.84,
11C635T-S,,423,359.55,431.46,363.78,,,456.84,
11C636-P,,456,377.55,464.46,381.78,,,489.84,
11C636-S,,423,359.55,431.46,363.78,,,456.84,
11C636T-P,,456,377.55,464.46,381.78,,,489.84,
11C636T-S,,423,359.55,431.46,363.78,,,456.84,
11C63L-P,,371.45,293,379.91,297.23,,,405.29,
11C63L-S,,338.45,275,346.91,279.23,,,372.29,
11C63LT-P,,371.45,293,379.91,297.23,,,405.29,
11C63LT-S,,338.45,275,346.91,279.23,,,372.29,
11C641-P,,287.5,,292.92,,,,309.18,
11C641-S,,271,,276.42,,,,292.68,
11C642-P,,287.5,,292.92,,,,309.18,
11C642-S,,271,,276.42,,,,292.68,
11C691-P,,287.5,,292.92,,,,309.18,
11C691-S,,271,,276.42,,,,292.68,
11C692-P,,287.5,,292.92,,,,309.18,
11C692-S,,271,,276.42,,,,292.68,
11C701,,,,,,224.66,,,224.66
11C702,,,,,,224.66,,,224.66
11C703,,,,,,224.66,,,224.66
11C704,,,,,,224.66,,,224.66
11C705,,,,,,224.66,,,224.66
11C706,,,,,,224.66,,,224.66
11C711,,,,,,223,,,223
11C712,,,,,,223,,,223
11C713,,,,,,223,,,223
11C714,,,,,,223,,,223
11C715,,223,,223,,,,223,
11C716,,,,,,223,,,223
11C721,,261,,261,,,,261,
11C722,,261,,261,,,,261,
11C723,,261,,261,,,,261,
11C724,,261,,261,,,,261,
11C725,,261,,261,,,,261,
11C726,,261,,261,,,,261,
11C801-P,,,,,,306.5,,,329.7
11C801-S,,,,,,290,,,313.2
11C802-P,,,,,,306.5,,,329.7
11C802-S,,,,,,290,,,313.2
11C803-P,,,,,,306.5,,,329.7
11C803-S,,,,,,290,,,313.2
11C804-P,,,,,,306.5,,,329.7
11C804-S,,,,,,290,,,313.2
11C805-P,,,,,,306.5,,,329.7
11C805-S,,,,,,290,,,313.2
11C806-P,,,,,,306.5,,,329.7
11C806-S,,,,,,290,,,313.2
11C811-P,,,,,,312.5,,,336.18
11C811-S,,,,,,296,,,319.68
11C812-P,,,,,,312.5,,,336.18
11C812-S,,,,,,296,,,319.68
11C813-P,,,,,,312.5,,,336.18
11C813-S,,,,,,296,,,319.68
11C814-P,,,,,,312.5,,,336.18
11C814-S,,,,,,296,,,319.68
11C815-P,,,,,,312.5,,,336.18
11C815-S,,,,,,296,,,319.68
11C816-P,,,,,,312.5,,,336.18
11C816-S,,,,,,296,,,319.68
11C821-P,,,,,,444,,,476.88
11C821-S,,,,,,411,,,443.88
11C822-P,,,,,,444,,,476.88
11C822-S,,,,,,411,,,443.88
11C823-P,,,,,,444,,,476.88
11C823-S,,,,,,411,,,443.88
11C824-P,,,,,,444,,,476.88
11C824-S,,,,,,411,,,443.88
11C825-P,,,,,,444,,,476.88
11C825-S,,,,,,411,,,443.88
11C826-P,,,,,,444,,,476.88
11C826-S,,,,,,411,,,443.88
11C841-P,,,,,,300.5,,,323.22
11C841-S,,,,,,284,,,306.72
11C842-P,,,,,,300.5,,,323.22
11C842-S,,,,,,284,,,306.72
11C891-P,,,,,,300.5,,,323.22
11C891-S,,,,,,284,,,306.72
11C892-P,,,,,,300.5,,,323.22
11C892-S,,,,,,284,,,306.72
11C901-P,,,,,,306.5,,,329.7
11C901-S,,,,,,290,,,313.2
11C902-P,,,,,,306.5,,,329.7
11C902-S,,,,,,290,,,313.2
11C903-P,,,,,,306.5,,,329.7
11C903-S,,,,,,290,,,313.2
11C904-P,,,,,,306.5,,,329.7
11C904-S,,,,,,290,,,313.2
11C905-P,,,,,,306.5,,,329.7
11C905-S,,,,,,290,,,313.2
11C906-P,,,,,,306.5,,,329.7
11C906-S,,,,,,290,,,313.2
11C911-P,,,,,,312.5,,,336.18
11C911-S,,,,,,296,,,319.68
11C912-P,,,,,,312.5,,,336.18
11C912-S,,,,,,296,,,319.68
11C913-P,,,,,,312.5,,,336.18
11C913-S,,,,,,296,,,319.68
11C914-P,,,,,,312.5,,,336.18
11C914-S,,,,,,296,,,319.68
11C915-P,,,,,,312.5,,,336.18
11C915-S,,,,,,296,,,319.68
11C916-P,,,,,,312.5,,,336.18
11C916-S,,,,,,296,,,319.68
11C921-P,,,,,,444,,,476.88
11C921-S,,,,,,411,,,443.88
11C922-P,,,,,,444,,,476.88
11C922-S,,,,,,411,,,443.88
11C923-P,,,,,,444,,,476.88
